,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Types
46,Rosé Brut Champagne Premier Cru N.V.,France,Champagne Premier Cru,Autréau de Champillon,3.6,64,28.5,,Champagne
47,Blanc de Blancs Brut Champagne N.V.,France,Champagne,Jacquinot & Fils,3.7,64,46.95,,Champagne
48,Lady Rosé Champagne N.V.,France,Champagne,Duval-Leroy,3.6,64,51.69,,Champagne
49,N.P.U Brut Champagne (Nec Plus Ultra) 2004,France,Champagne,Bruno Paillard,4.4,67,169.0,2004,Champagne
50,L'Authentique Brut Champagne 2009,France,Champagne,Tribaut Schloesser,4.2,70,78.95,2009,Champagne
51,Initiation N.V.,France,Champagne,Benoît Déhu,4.2,74,54.0,,Champagne
52,Crémant de Loire Brut Rosé N.V.,France,Crémant de Loire,Chapin & Landais,3.7,75,11.07,,Champagne
53,Tradition Demi-Sec Champagne N.V.,France,Champagne,J.M. Gobillard & Fils,4.1,75,28.95,,Champagne
54,Cuvée Prestige Millésimé Brut Champagne 2013,France,Champagne,J.M. Gobillard & Fils,4.2,77,33.92,2013,Champagne
55,Cuvée Patrimony Brut Champagne N.V.,France,Champagne,Michel Loriot,3.8,77,25.99,,Champagne
56,Millesimé Brut Champagne 2013,France,Champagne,Deutz,4.0,78,48.5,2013,Champagne
57,Millésime Brut Champagne 2009,France,Champagne,Tribaut Schloesser,4.2,79,39.95,2009,Champagne
58,Réserve Blanquette de Limoux Brut 2016,France,Blanquette de Limoux,Antech,3.7,80,14.62,2016,Champagne
59,Grande Sélection Brut Champagne N.V.,France,Champagne,Le Brun de Neuville,4.0,81,29.95,,Champagne
60,Extra Brut Champagne N.V.,France,Champagne,Comtesse Lafond,4.1,82,44.9,,Champagne
61,Vieille Réserve Brut Champagne Premier Cru N.V.,France,Champagne Premier Cru,Frédéric Malétrez,4.1,83,45.0,,Champagne
62,Millesimé Exception Brut Champagne 2014,France,Champagne,Drappier,4.1,86,39.79,2014,Champagne
63,Comtes de Champagne Rosé 2007,France,Champagne,Taittinger,4.3,89,208.2,2007,Champagne
